"key","en — English","ru — Русский","ca — Català","de — Deutsch","el — Ελληνικά","es — Español","fr — Français","id — Bahasa Indonesia","it — Italiano","ja — 日本語","nl — Nederlands","oc — Occitan","pt_BR — Português (Brasil)","sv — Svenska","tr — Türkçe","zh_Hans — 简体中文","zh_Hant — 繁體中文"
"AdminBadge.SystemAdmin","Admin","Админ","","Administrator","","","","","","","","","Administrador","","Yönetici","",""
"AdminBadge.TeamAdmin","Team Admin","Админ команды","","Teamadministrator","","","","","","","","","Administrador de equipe","","Takım yöneticisi","",""
"AgentProjects.add","Add","Добавить","","","","","","","","","","","","","","",""
"AgentProjects.add-project","Add project…","Добавить проект…","","","","","","","","","","","","","","",""
"AgentProjects.attach","Add to this board","Добавить на эту доску","","","","","","","","","","","","","","",""
"AgentProjects.cancel","Cancel","Отмена","","","","","","","","","","","","","","",""
"AgentProjects.empty","No projects registered yet.","Проекты пока не добавлены.","","","","","","","","","","","","","","",""
"AgentProjects.global","On every board","На всех досках","","","","","","","","","","","","","","",""
"AgentProjects.global-badge","all boards","все доски","","","","","","","","","","","","","","",""
"AgentProjects.name-placeholder","Name (matches the ""Projects"" option)","Название (совпадает с опцией поля «Проекты»)","","","","","","","","","","","","","","",""
"AgentProjects.options-added","Added {count, plural, one {# project option} other {# project options}} to ""{property}""","В поле «{property}» {count, plural, one {добавлена # опция} few {добавлено # опции} many {добавлено # опций} other {добавлено # опции}}","","","","","","","","","","","","","","",""
"AgentProjects.pick-title","Choose a project folder","Выберите папку проекта","","","","","","","","","","","","","","",""
"AgentProjects.remove","Remove","Удалить","","","","","","","","","","","","","","",""
"AgentProjects.subtitle","Folders on your machine an agent can work in. A card is matched to one by its ""Projects"" field. A board that runs no agents needs none of this.","Папки на вашей машине, в которых может работать агент. Карточка сопоставляется с одной из них по полю «Проекты». Доске, которая не запускает агентов, ничего этого не нужно.","","","","","","","","","","","","","","",""
"AgentProjects.sync-hint","Every project above is an option of this board’s ""Projects"" field, so a card picks one there. A project added here belongs to this board unless it says otherwise.","Каждый проект выше — опция поля «Проекты» на этой доске, там карточка его и выбирает. Добавленный здесь проект принадлежит этой доске, если не отмечен как общий.","","","","","","","","","","","","","","",""
"AgentProjects.title","Projects","Проекты","","","","","","","","","","","","","","",""
"AgentProjects.unattached","Not on any board yet","Пока ни на одной доске","","","","","","","","","","","","","","",""
"AgentQuickAdd.add","Add","Добавить","","","","","","","","","","","","","","",""
"AgentQuickAdd.cancel","Cancel","Отмена","","","","","","","","","","","","","","",""
"AgentQuickAdd.hint","Everything else about it — model, environment, MCP servers, proxy — is in Settings → Agents, and has a working default until you go there.","Всё остальное про него — модель, окружение, MCP-серверы, прокси — в «Настройки» → «Агенты»; до тех пор действуют значения по умолчанию.","","","","","","","","","","","","","","",""
"AgentQuickAdd.kind","Kind","Тип","","","","","","","","","","","","","","",""
"AgentQuickAdd.name","Name","Имя","","","","","","","","","","","","","","",""
"Agents.adapter-install","Install adapter","Установить адаптер","","","","","","","","","","","","","","",""
"Agents.adapter-installed","Adapter installed: {package}","Адаптер установлен: {package}","","","","","","","","","","","","","","",""
"Agents.adapter-installing","Installing…","Устанавливаю…","","","","","","","","","","","","","","",""
"Agents.add","Add agent…","Добавить агента…","","","","","","","","","","","","","","",""
"Agents.args","Extra CLI args (space-separated)","Дополнительные аргументы CLI (через пробел)","","","","","","","","","","","","","","",""
"Agents.assignable-hint","A board picks these up on its own: each agent becomes a member of it under its own name, so a card can be assigned to one the way it is assigned to anybody.","Доска подхватывает их сама: каждый агент становится её участником под своим именем, так что карточку можно назначить на него — как на любого другого.","","","","","","","","","","","","","","",""
"Agents.binPath","Binary path (optional)","Путь к бинарнику (необязательно)","","","","","","","","","","","","","","",""
"Agents.cancel","Cancel","Отмена","","","","","","","","","","","","","","",""
"Agents.cli","The CLI behind the adapter","CLI за адаптером","","","","","","","","","","","","","","",""
"Agents.cli-args","Arguments for the CLI behind the adapter","Аргументы для CLI за адаптером","","","","","","","","","","","","","","",""
"Agents.cli-args-hint","Handed to the CLI at session start. An argument it does not know shows up here as its own error when the agent is rechecked, not later on a card.","Передаются CLI при старте сессии. Аргумент, которого он не знает, покажется здесь его же ошибкой при проверке агента, а не потом на карточке.","","","","","","","","","","","","","","",""
"Agents.command","Launch command (argv) — overrides the binary path; wrap the CLI to route it through a proxy. Required for ""ACP (other)"".","Команда запуска (argv) — заменяет путь к бинарнику; оберните CLI, чтобы пустить его через прокси. Обязательна для «ACP (другой)».","","","","","","","","","","","","","","",""
"Agents.edit","Edit","Изменить","","","","","","","","","","","","","","",""
"Agents.empty","No agents registered yet.","Агенты пока не добавлены.","","","","","","","","","","","","","","",""
"Agents.env","Environment (KEY=VALUE per line — e.g. CODEX_HOME, OPENAI_API_KEY)","Переменные окружения (KEY=VALUE построчно — например CODEX_HOME, OPENAI_API_KEY)","","","","","","","","","","","","","","",""
"Agents.kind","Kind","Тип","","","","","","","","","","","","","","",""
"Agents.mcp-servers","MCP servers (the JSON any MCP client takes) — offered to this agent in every session","MCP-серверы (JSON, как его принимает любой MCP-клиент) — доступны агенту в любой сессии","","","","","","","","","","","","","","",""
"Agents.mcp-servers-hint","Their tools run without confirmation prompts. A browser server (Playwright, say) is what the ""To Test"" column needs.","Инструменты этих серверов агент использует без подтверждений. Браузерный сервер (например, Playwright) нужен для колонки «To Test».","","","","","","","","","","","","","","",""
"Agents.mcp-servers-invalid","MCP servers must be valid JSON: a server name mapped to its command and args, the same block any MCP client takes.","MCP-серверы должны быть корректным JSON: имя сервера, а в нём command и args — тот же блок, что принимает любой MCP-клиент.","","","","","","","","","","","","","","",""
"Agents.model","Model (optional)","Модель (необязательно)","","","","","","","","","","","","","","",""
"Agents.name","Name","Имя","","","","","","","","","","","","","","",""
"Agents.name-placeholder","Name","Имя","","","","","","","","","","","","","","",""
"Agents.option-default","As the agent has it ({current})","Как у агента ({current})","","","","","","","","","","","","","","",""
"Agents.options","Agent settings","Настройки агента","","","","","","","","","","","","","","",""
"Agents.options-asking","Starting the agent to ask what it supports…","Запускаю агента, чтобы спросить, что он умеет…","","","","","","","","","","","","","","",""
"Agents.options-failed","Could not ask the agent what it supports: {error}","Не удалось спросить агента, что он умеет: {error}","","","","","","","","","","","","","","",""
"Agents.options-none","This agent has no settings of its own.","У этого агента нет своих настроек.","","","","","","","","","","","","","","",""
"Agents.options-probing","Asking the agent…","Спрашиваю агента…","","","","","","","","","","","","","","",""
"Agents.options-recheck","Recheck","Проверить заново","","","","","","","","","","","","","","",""
"Agents.prompt","Agent system prompt","Системный промпт агента","","","","","","","","","","","","","","",""
"Agents.proxy-hint","Configurations are added under ""Proxy configurations"", beside this section.","Конфигурации добавляются в разделе «Настройки прокси», рядом с этим.","","","","","","","","","","","","","","",""
"Agents.proxy-none","No proxy (inherit the app environment)","Без прокси (окружение приложения)","","","","","","","","","","","","","","",""
"Agents.proxyName","Proxy configuration","Конфигурация прокси","","","","","","","","","","","","","","",""
"Agents.remote-control","Remote control — drive this agent's sessions from claude.ai or the Claude app","Remote control — управлять сессиями этого агента из claude.ai или приложения Claude","","","","","","","","","","","","","","",""
"Agents.remote-control-name","Session name prefix in claude.ai (optional)","Префикс имени сессии в claude.ai (необязательно)","","","","","","","","","","","","","","",""
"Agents.remove","Remove","Удалить","","","","","","","","","","","","","","",""
"Agents.save","Save","Сохранить","","","","","","","","","","","","","","",""
"Agents.subtitle","Register coding agents (Claude, Codex, Antigravity, GitHub Copilot, JetBrains Junie or any other ACP agent) with their own prompt, model, launch command, environment and proxy. A card goes to the agent it is assigned to.","Кодинг-агенты (Claude, Codex, Antigravity, GitHub Copilot, JetBrains Junie или любой другой ACP-агент) со своим промптом, моделью, командой запуска, окружением и прокси. Карточка попадает к тому агенту, на которого назначена.","","","","","","","","","","","","","","",""
"Attachment.Attachment-title","Attachment","Вложение","Adjunt","Anhang","","Archivos adjuntos","","","","添付する","Bijlage","","Anexo","Bilaga","Ek dosya","附件","附件"
"AttachmentBlock.DeleteAction","delete","Удалить","esborra","Löschen","","borrar","","","","削除","verwijderen","","excluir","radera","sil","删除","刪除"
"AttachmentBlock.addElement","add {type}","добавить {type}","afegir {type}","{type} hinzufügen","","agregar {type}","","","","{type} を追加","voeg {type} toe","","adicionar {type}","lägg till {type}","{type} ekle","添加 {type}","添加 {type}"
"AttachmentBlock.delete","Attachment Deleted Successfully.","Вложение удалено.","Adjunt esborrat.","Anhang gelöscht.","","Archivo adjunto eliminado.","","","","添付ファイルを削除しました。","Bijlage verwijderd.","","Anexo apagado.","Bilagan har tagits bort.","Ek dosya silindi.","附件已删除。","已刪除附件"
"AttachmentBlock.failed","Unable to upload the file. Attachment size limit reached.","Не удалось загрузить файл, так как превышена квота на размер файла.","Aquest fitxer no pot ser afegit ja que el límit de tamany de fitxer ha estat assolit.","Kann Datei nicht hochladen, da das Limit für Dateigröße erreicht ist.","","Este archivo no puede subirse debido a que excede el límite de tamaño de archivo.","","","","ファイルサイズの制限に達したため、ファイルをアップロードできませんでした。","Dit bestand kon niet worden geüpload omdat de bestandslimiet wordt overschreden.","","Este arquivo não pôde ser carregado pois ultrapassou o tamanho limite.","Flen kunde inte laddas upp eftersom gränsen för filstorlek har nåtts.","Dosya boyutu sınırı aşıldığından bu dosya yüklenemedi.","该文件无法上传，因为已经达到了文件大小的限制。","無法上傳文件。 附件大小已達到限制。"
"AttachmentBlock.upload","Attachment uploading.","Загрузка вложения.","Adjunt afegint-se.","Anhang wird hochgeladen.","","Subiendo archivo adjunto.","","","","添付ファイルをアップロードしています。","Bijlage aan het uploaden.","","Carregando anexo.","Bilagor laddas upp.","Ek dosya yükleniyor.","附件正在上传。","附件正在上傳。"
"AttachmentBlock.uploadSuccess","Attachment uploaded successfull.","Вложение загружено.","Adjunt afegit.","Anhang hochgeladen.","","Archivo adjunto subido.","","","","添付ファイルをアップロードしました。","Bijlage geüpload.","","Anexo enviado.","Bilagan är uppladdad.","Ek dosya yüklendi.","附件已上传。","附件已上傳"
"AttachmentElement.delete-confirmation-dialog-button-text","Delete","Удалить","Esborra","Löschen","","Borrar","","","","削除","Verwijderen","","Excluir","Radera","Sil","删除","刪除"
"AttachmentElement.download","Download","Скачать","Descarrega","Herunterladen","","Descargar","","","","ダウンロード","Downloaden","","Baixar","Ladda ner","İndir","下载","下載"
"AttachmentElement.upload-percentage","Uploading...({uploadPercent}%)","Загрузка...({uploadPercent}%)","Afegint...({uploadPercent}%)","Hochladen...({uploadPercent}%)","","Subiendo...({uploadPercent}%)","","","","アップロード中...({uploadPercent}%)","Uploaden...({uploadPercent}%)","","Enviando...({uploadPercent}%)","Laddar upp...({uploadPercent}%)","Yükleniyor...(%{uploadPercent})","上传中…({uploadPercent}%)","正在上傳...({uploadPercent}%)"
"Attention.asking","The agent is asking","Агент спрашивает","","","","","","","","","","","","","","",""
"Attention.asking-agent","{agent} is asking","{agent} спрашивает","","","","","","","","","","","","","","",""
"Attention.dismiss","Dismiss","Скрыть","","","","","","","","","","","","","","",""
"Attention.free-text","Answer in your own words…","Ответить своими словами…","","","","","","","","","","","","","","",""
"Attention.more","…and {count} more waiting","…и ещё {count, plural, one {# карточка ждёт} few {# карточки ждут} many {# карточек ждут} other {# карточки ждёт}}","","","","","","","","","","","","","","",""
"Attention.open","Open the terminal","Открыть терминал","","","","","","","","","","","","","","",""
"Attention.send","Send","Отправить","","","","","","","","","","","","","","",""
"Attention.untitled","Untitled card","Карточка без названия","","","","","","","","","","","","","","",""
"Automation.action-agent","an agent works on the card","агент работает над карточкой","","","","","","","","","","","","","","",""
"Automation.action-deploy","deploy the card’s branch","задеплоить ветку карточки","","","","","","","","","","","","","","",""
"Automation.action-none","nothing — the card waits","ничего — карточка ждёт","","","","","","","","","","","","","","",""
"Automation.action-test","test the preview","протестировать превью","","","","","","","","","","","","","","",""
